13A,motor neuron,weight,query,post_id,n,id.x,names.x,id.y,X,id,valid,classification_system,pt_supervoxel_id,pt_root_id,pt_position
13A-R-5c,femur_reductor_in_trochanter,31,648518346515388743,648518346496027594,1,648518346496985496,R13A6f,648518346515388743,93,396,t,L2_T1R,73819768922192827,648518346486619085,[52534 88655  2584]
13A-R-6f,femur_reductor_in_trochanter,7,648518346484181533,648518346496027594,1,648518346500872348,R13A7g,648518346484181533,93,396,t,L2_T1R,73819768922192827,648518346486619085,[52534 88655  2584]
13A-R-9h,femur_reductor_in_trochanter,7,648518346501542232,648518346496027594,1,648518346501251427,R13A10e,648518346501542232,93,396,t,L2_T1R,73819768922192827,648518346486619085,[52534 88655  2584]
13A-R-5a,femur_reductor_in_trochanter,19,648518346486371464,648518346496027594,1,648518346486371464,R13A4a,648518346486371464,93,396,t,L2_T1R,73819768922192827,648518346486619085,[52534 88655  2584]
13A-R-9b,femur_reductor_in_trochanter,17,648518346511967856,648518346496027594,1,648518346487640386,R13A10f,648518346511967856,93,396,t,L2_T1R,73819768922192827,648518346486619085,[52534 88655  2584]
13A-R-9c,femur_reductor_in_trochanter,10,648518346481463909,648518346496027594,1,648518346477520398,R13A12d,648518346481463909,93,396,t,L2_T1R,73819768922192827,648518346486619085,[52534 88655  2584]
13A-R-5b,femur_reductor_in_trochanter,17,648518346492510147,648518346496027594,1,648518346496702332,R13A6d,648518346492510147,93,396,t,L2_T1R,73819768922192827,648518346486619085,[52534 88655  2584]
13A-R-9c,femur_reductor_in_trochanter,10,648518346481463909,648518346496027594,1,648518346477520398,R13A10j_12g,648518346481463909,93,396,t,L2_T1R,73819768922192827,648518346486619085,[52534 88655  2584]
13A-R-9e,femur_reductor_in_trochanter,11,648518346502495059,648518346496027594,1,648518346485791614,R13A11h_10a,648518346502495059,93,396,t,L2_T1R,73819768922192827,648518346486619085,[52534 88655  2584]
13A-R-5e,femur_reductor_in_trochanter,5,648518346488798392,648518346496027594,1,648518346475882978,R13A6c,648518346488798392,93,396,t,L2_T1R,73819768922192827,648518346486619085,[52534 88655  2584]
13A-R-6b,femur_reductor_in_trochanter,16,648518346507405599,648518346496027594,1,648518346485868484,R13A7b,648518346507405599,93,396,t,L2_T1R,73819768922192827,648518346486619085,[52534 88655  2584]
13A-R-5c,femur_reductor_in_trochanter,12,648518346515388743,648518346499760851,1,648518346496985496,R13A6f,648518346515388743,94,397,t,L2_T1R,73890137464982500,648518346499760851,[53993 89622  2196]
13A-R-5b,femur_reductor_in_trochanter,9,648518346492510147,648518346499760851,1,648518346496702332,R13A6d,648518346492510147,94,397,t,L2_T1R,73890137464982500,648518346499760851,[53993 89622  2196]
13A-R-9f,tibia_extensor_in_femur_seti,50,648518346486686340,648518346489643212,1,648518346480868573,R13A11i_10d,648518346486686340,100,403,t,L4_T1R,73819700270016761,648518346489643212,[52001 86333  2743]
13A-R-8b,tibia_extensor_in_femur_seti,22,648518346497197720,648518346489643212,1,648518346475292513,R13A8e_7c,648518346497197720,100,403,t,L4_T1R,73819700270016761,648518346489643212,[52001 86333  2743]
13A-R-9e,tibia_extensor_in_femur_seti,88,648518346502495059,648518346489643212,1,648518346485791614,R13A11h_10a,648518346502495059,100,403,t,L4_T1R,73819700270016761,648518346489643212,[52001 86333  2743]
13A-R-8d,tibia_extensor_in_femur_seti,5,648518346477160720,648518346489643212,1,648518346493704952,R13A8a,648518346477160720,100,403,t,L4_T1R,73819700270016761,648518346489643212,[52001 86333  2743]
13A-R-10d,tibia_extensor_in_femur_seti,44,648518346487938004,648518346489643212,1,648518346496642050,R13A11a,648518346487938004,100,403,t,L4_T1R,73819700270016761,648518346489643212,[52001 86333  2743]
13A-R-6b,tibia_extensor_in_femur_seti,30,648518346507405599,648518346489643212,1,648518346485868484,R13A7b,648518346507405599,100,403,t,L4_T1R,73819700270016761,648518346489643212,[52001 86333  2743]
13A-R-6f,tibia_extensor_in_femur_seti,27,648518346484181533,648518346489643212,1,648518346500872348,R13A7g,648518346484181533,100,403,t,L4_T1R,73819700270016761,648518346489643212,[52001 86333  2743]
13A-R-6e,tibia_extensor_in_femur_seti,16,648518346517211173,648518346489643212,1,648518346517211173,R13A7e,648518346517211173,100,403,t,L4_T1R,73819700270016761,648518346489643212,[52001 86333  2743]
13A-R-6d,tibia_extensor_in_femur_seti,8,648518346472000923,648518346489643212,1,648518346479398848,R13A7h_12a,648518346472000923,100,403,t,L4_T1R,73819700270016761,648518346489643212,[52001 86333  2743]
13A-R-8a,tibia_extensor_in_femur_seti,4,648518346507214367,648518346489643212,1,648518346507214367,R13A8d_7a,648518346507214367,100,403,t,L4_T1R,73819700270016761,648518346489643212,[52001 86333  2743]
